Day,Date,Time,Entry
Sunday,1/1/2023,0:00,0
Sunday,1/1/2023,1:00,0
Sunday,1/1/2023,2:00,0
Sunday,1/1/2023,3:00,0
Sunday,1/1/2023,4:00,0
Sunday,1/1/2023,5:00,0
Sunday,1/1/2023,6:00,956
Sunday,1/1/2023,7:00,1076
Sunday,1/1/2023,8:00,1081
Sunday,1/1/2023,9:00,1276
Sunday,1/1/2023,10:00,1709
Sunday,1/1/2023,11:00,1998
Sunday,1/1/2023,12:00,1917
Sunday,1/1/2023,13:00,1980
Sunday,1/1/2023,14:00,2087
Sunday,1/1/2023,15:00,2196
Sunday,1/1/2023,16:00,2305
Sunday,1/1/2023,17:00,2712
Sunday,1/1/2023,18:00,2367
Sunday,1/1/2023,19:00,2476
Sunday,1/1/2023,20:00,2240
Sunday,1/1/2023,21:00,1752
Sunday,1/1/2023,22:00,136
Sunday,1/1/2023,23:00,0
Monday,1/2/2023,0:00,0
Monday,1/2/2023,1:00,0
Monday,1/2/2023,2:00,0
Monday,1/2/2023,3:00,0
Monday,1/2/2023,4:00,0
Monday,1/2/2023,5:00,1182
Monday,1/2/2023,6:00,1367
Monday,1/2/2023,7:00,1591
Monday,1/2/2023,8:00,1617
Monday,1/2/2023,9:00,2053
Monday,1/2/2023,10:00,2148
Monday,1/2/2023,11:00,2188
Monday,1/2/2023,12:00,2481
Monday,1/2/2023,13:00,2450
Monday,1/2/2023,14:00,2495
Monday,1/2/2023,15:00,2385
Monday,1/2/2023,16:00,2935
Monday,1/2/2023,17:00,2822
Monday,1/2/2023,18:00,2925
Monday,1/2/2023,19:00,2709
Monday,1/2/2023,20:00,2699
Monday,1/2/2023,21:00,1847
Monday,1/2/2023,22:00,58
Monday,1/2/2023,23:00,0
Tuesday,1/3/2023,0:00,0
Tuesday,1/3/2023,1:00,0
Tuesday,1/3/2023,2:00,0
Tuesday,1/3/2023,3:00,0
Tuesday,1/3/2023,4:00,0
Tuesday,1/3/2023,5:00,2555
Tuesday,1/3/2023,6:00,3579
Tuesday,1/3/2023,7:00,4493
Tuesday,1/3/2023,8:00,3709
Tuesday,1/3/2023,9:00,2914
Tuesday,1/3/2023,10:00,2462
Tuesday,1/3/2023,11:00,2630
Tuesday,1/3/2023,12:00,2498
Tuesday,1/3/2023,13:00,2423
Tuesday,1/3/2023,14:00,2508
Tuesday,1/3/2023,15:00,2185
Tuesday,1/3/2023,16:00,1317
Tuesday,1/3/2023,17:00,3268
Tuesday,1/3/2023,18:00,2904
Tuesday,1/3/2023,19:00,2739
Tuesday,1/3/2023,20:00,2235
Tuesday,1/3/2023,21:00,1630
Tuesday,1/3/2023,22:00,85
Tuesday,1/3/2023,23:00,0
Wednesday,1/4/2023,0:00,0
Wednesday,1/4/2023,1:00,0
Wednesday,1/4/2023,2:00,0
Wednesday,1/4/2023,3:00,0
Wednesday,1/4/2023,4:00,0
Wednesday,1/4/2023,5:00,2510
Wednesday,1/4/2023,6:00,3395
Wednesday,1/4/2023,7:00,4712
Wednesday,1/4/2023,8:00,3612
Wednesday,1/4/2023,9:00,3050
Wednesday,1/4/2023,10:00,2534
Wednesday,1/4/2023,11:00,2512
Wednesday,1/4/2023,12:00,2627
Wednesday,1/4/2023,13:00,2323
Wednesday,1/4/2023,14:00,2406
Wednesday,1/4/2023,15:00,2544
Wednesday,1/4/2023,16:00,2946
Wednesday,1/4/2023,17:00,3641
Wednesday,1/4/2023,18:00,3124
Wednesday,1/4/2023,19:00,2744
Wednesday,1/4/2023,20:00,2358
Wednesday,1/4/2023,21:00,1701
Wednesday,1/4/2023,22:00,52
Wednesday,1/4/2023,23:00,0
Thursday,1/5/2023,0:00,0
Thursday,1/5/2023,1:00,0
Thursday,1/5/2023,2:00,0
Thursday,1/5/2023,3:00,0
Thursday,1/5/2023,4:00,0
Thursday,1/5/2023,5:00,2207
Thursday,1/5/2023,6:00,3212
Thursday,1/5/2023,7:00,4269
Thursday,1/5/2023,8:00,3814
Thursday,1/5/2023,9:00,2776
Thursday,1/5/2023,10:00,2303
Thursday,1/5/2023,11:00,2156
Thursday,1/5/2023,12:00,2133
Thursday,1/5/2023,13:00,1880
Thursday,1/5/2023,14:00,1987
Thursday,1/5/2023,15:00,2042
Thursday,1/5/2023,16:00,2519
Thursday,1/5/2023,17:00,2820
Thursday,1/5/2023,18:00,2766
Thursday,1/5/2023,19:00,2462
Thursday,1/5/2023,20:00,1982
Thursday,1/5/2023,21:00,1522
Thursday,1/5/2023,22:00,65
Thursday,1/5/2023,23:00,0
Friday,1/6/2023,0:00,0
Friday,1/6/2023,1:00,0
Friday,1/6/2023,2:00,0
Friday,1/6/2023,3:00,0
Friday,1/6/2023,4:00,0
Friday,1/6/2023,5:00,2323
Friday,1/6/2023,6:00,3330
Friday,1/6/2023,7:00,4433
Friday,1/6/2023,8:00,3533
Friday,1/6/2023,9:00,2928
Friday,1/6/2023,10:00,2508
Friday,1/6/2023,11:00,2708
Friday,1/6/2023,12:00,2504
Friday,1/6/2023,13:00,2361
Friday,1/6/2023,14:00,2432
Friday,1/6/2023,15:00,2578
Friday,1/6/2023,16:00,3102
Friday,1/6/2023,17:00,3412
Friday,1/6/2023,18:00,3322
Friday,1/6/2023,19:00,2784
Friday,1/6/2023,20:00,2496
Friday,1/6/2023,21:00,1703
Friday,1/6/2023,22:00,80
Friday,1/6/2023,23:00,0
Saturday,1/7/2023,0:00,0
Saturday,1/7/2023,1:00,0
Saturday,1/7/2023,2:00,0
Saturday,1/7/2023,3:00,0
Saturday,1/7/2023,4:00,0
Saturday,1/7/2023,5:00,1582
Saturday,1/7/2023,6:00,2155
Saturday,1/7/2023,7:00,2268
Saturday,1/7/2023,8:00,2320
Saturday,1/7/2023,9:00,2390
Saturday,1/7/2023,10:00,2295
Saturday,1/7/2023,11:00,2297
Saturday,1/7/2023,12:00,2411
Saturday,1/7/2023,13:00,2508
Saturday,1/7/2023,14:00,2377
Saturday,1/7/2023,15:00,2682
Saturday,1/7/2023,16:00,2961
Saturday,1/7/2023,17:00,3100
Saturday,1/7/2023,18:00,2868
Saturday,1/7/2023,19:00,2438
Saturday,1/7/2023,20:00,2143
Saturday,1/7/2023,21:00,1505
Saturday,1/7/2023,22:00,34
Saturday,1/7/2023,23:00,0
Sunday,1/8/2023,0:00,0
Sunday,1/8/2023,1:00,0
Sunday,1/8/2023,2:00,0
Sunday,1/8/2023,3:00,0
Sunday,1/8/2023,4:00,0
Sunday,1/8/2023,5:00,1036
Sunday,1/8/2023,6:00,1333
Sunday,1/8/2023,7:00,1614
Sunday,1/8/2023,8:00,1889
Sunday,1/8/2023,9:00,2179
Sunday,1/8/2023,10:00,2096
Sunday,1/8/2023,11:00,2370
Sunday,1/8/2023,12:00,2390
Sunday,1/8/2023,13:00,2358
Sunday,1/8/2023,14:00,2532
Sunday,1/8/2023,15:00,2449
Sunday,1/8/2023,16:00,2737
Sunday,1/8/2023,17:00,2964
Sunday,1/8/2023,18:00,2523
Sunday,1/8/2023,19:00,2410
Sunday,1/8/2023,20:00,2080
Sunday,1/8/2023,21:00,1583
Sunday,1/8/2023,22:00,76
Sunday,1/8/2023,23:00,0
Monday,1/9/2023,0:00,0
Monday,1/9/2023,1:00,0
Monday,1/9/2023,2:00,0
Monday,1/9/2023,3:00,0
Monday,1/9/2023,4:00,0
Monday,1/9/2023,5:00,2817
Monday,1/9/2023,6:00,4237
Monday,1/9/2023,7:00,4830
Monday,1/9/2023,8:00,4098
Monday,1/9/2023,9:00,3383
Monday,1/9/2023,10:00,2754
Monday,1/9/2023,11:00,2687
Monday,1/9/2023,12:00,2488
Monday,1/9/2023,13:00,2502
Monday,1/9/2023,14:00,2535
Monday,1/9/2023,15:00,2560
Monday,1/9/2023,16:00,2785
Monday,1/9/2023,17:00,3118
Monday,1/9/2023,18:00,2997
Monday,1/9/2023,19:00,2578
Monday,1/9/2023,20:00,2334
Monday,1/9/2023,21:00,1506
Monday,1/9/2023,22:00,28
Monday,1/9/2023,23:00,0
Tuesday,1/10/2023,0:00,0
Tuesday,1/10/2023,1:00,0
Tuesday,1/10/2023,2:00,0
Tuesday,1/10/2023,3:00,0
Tuesday,1/10/2023,4:00,0
Tuesday,1/10/2023,5:00,2474
Tuesday,1/10/2023,6:00,3754
Tuesday,1/10/2023,7:00,4873
Tuesday,1/10/2023,8:00,4196
Tuesday,1/10/2023,9:00,3241
Tuesday,1/10/2023,10:00,2717
Tuesday,1/10/2023,11:00,2609
Tuesday,1/10/2023,12:00,2514
Tuesday,1/10/2023,13:00,2472
Tuesday,1/10/2023,14:00,2562
Tuesday,1/10/2023,15:00,2599
Tuesday,1/10/2023,16:00,3144
Tuesday,1/10/2023,17:00,3529
Tuesday,1/10/2023,18:00,3278
Tuesday,1/10/2023,19:00,2941
Tuesday,1/10/2023,20:00,2401
Tuesday,1/10/2023,21:00,1740
Tuesday,1/10/2023,22:00,39
Tuesday,1/10/2023,23:00,0
Wednesday,1/11/2023,0:00,0
Wednesday,1/11/2023,1:00,0
Wednesday,1/11/2023,2:00,0
Wednesday,1/11/2023,3:00,0
Wednesday,1/11/2023,4:00,0
Wednesday,1/11/2023,5:00,2416
Wednesday,1/11/2023,6:00,3891
Wednesday,1/11/2023,7:00,5030
Wednesday,1/11/2023,8:00,4128
Wednesday,1/11/2023,9:00,3207
Wednesday,1/11/2023,10:00,2698
Wednesday,1/11/2023,11:00,2779
Wednesday,1/11/2023,12:00,2628
Wednesday,1/11/2023,13:00,2464
Wednesday,1/11/2023,14:00,2566
Wednesday,1/11/2023,15:00,2934
Wednesday,1/11/2023,16:00,3306
Wednesday,1/11/2023,17:00,3629
Wednesday,1/11/2023,18:00,3320
Wednesday,1/11/2023,19:00,2973
Wednesday,1/11/2023,20:00,2561
Wednesday,1/11/2023,21:00,1782
Wednesday,1/11/2023,22:00,74
Wednesday,1/11/2023,23:00,0
Thursday,1/12/2023,0:00,0
Thursday,1/12/2023,1:00,0
Thursday,1/12/2023,2:00,0
Thursday,1/12/2023,3:00,0
Thursday,1/12/2023,4:00,0
Thursday,1/12/2023,5:00,2460
Thursday,1/12/2023,6:00,3743
Thursday,1/12/2023,7:00,4985
Thursday,1/12/2023,8:00,4008
Thursday,1/12/2023,9:00,3121
Thursday,1/12/2023,10:00,2538
Thursday,1/12/2023,11:00,2552
Thursday,1/12/2023,12:00,2466
Thursday,1/12/2023,13:00,2234
Thursday,1/12/2023,14:00,2230
Thursday,1/12/2023,15:00,2593
Thursday,1/12/2023,16:00,2845
Thursday,1/12/2023,17:00,3333
Thursday,1/12/2023,18:00,3133
Thursday,1/12/2023,19:00,2925
Thursday,1/12/2023,20:00,2381
Thursday,1/12/2023,21:00,1665
Thursday,1/12/2023,22:00,60
Thursday,1/12/2023,23:00,0
Friday,1/13/2023,0:00,0
Friday,1/13/2023,1:00,0
Friday,1/13/2023,2:00,0
Friday,1/13/2023,3:00,0
Friday,1/13/2023,4:00,0
Friday,1/13/2023,5:00,2366
Friday,1/13/2023,6:00,3661
Friday,1/13/2023,7:00,4621
Friday,1/13/2023,8:00,3789
Friday,1/13/2023,9:00,3124
Friday,1/13/2023,10:00,2854
Friday,1/13/2023,11:00,2729
Friday,1/13/2023,12:00,2905
Friday,1/13/2023,13:00,2744
Friday,1/13/2023,14:00,2698
Friday,1/13/2023,15:00,2919
Friday,1/13/2023,16:00,3275
Friday,1/13/2023,17:00,3517
Friday,1/13/2023,18:00,3336
Friday,1/13/2023,19:00,3074
Friday,1/13/2023,20:00,2533
Friday,1/13/2023,21:00,2054
Friday,1/13/2023,22:00,84
Friday,1/13/2023,23:00,0
Saturday,1/14/2023,0:00,0
Saturday,1/14/2023,1:00,0
Saturday,1/14/2023,2:00,0
Saturday,1/14/2023,3:00,0
Saturday,1/14/2023,4:00,0
Saturday,1/14/2023,5:00,1646
Saturday,1/14/2023,6:00,2237
Saturday,1/14/2023,7:00,2463
Saturday,1/14/2023,8:00,2391
Saturday,1/14/2023,9:00,2368
Saturday,1/14/2023,10:00,2280
Saturday,1/14/2023,11:00,2449
Saturday,1/14/2023,12:00,2549
Saturday,1/14/2023,13:00,2563
Saturday,1/14/2023,14:00,2531
Saturday,1/14/2023,15:00,2827
Saturday,1/14/2023,16:00,3364
Saturday,1/14/2023,17:00,3524
Saturday,1/14/2023,18:00,3051
Saturday,1/14/2023,19:00,2660
Saturday,1/14/2023,20:00,2506
Saturday,1/14/2023,21:00,1625
Saturday,1/14/2023,22:00,76
Saturday,1/14/2023,23:00,0
Sunday,1/15/2023,0:00,0
Sunday,1/15/2023,1:00,0
Sunday,1/15/2023,2:00,0
Sunday,1/15/2023,3:00,0
Sunday,1/15/2023,4:00,0
Sunday,1/15/2023,5:00,1022
Sunday,1/15/2023,6:00,1385
Sunday,1/15/2023,7:00,1595
Sunday,1/15/2023,8:00,2006
Sunday,1/15/2023,9:00,2185
Sunday,1/15/2023,10:00,2004
Sunday,1/15/2023,11:00,2386
Sunday,1/15/2023,12:00,2350
Sunday,1/15/2023,13:00,2487
Sunday,1/15/2023,14:00,2554
Sunday,1/15/2023,15:00,2665
Sunday,1/15/2023,16:00,3016
Sunday,1/15/2023,17:00,2854
Sunday,1/15/2023,18:00,2629
Sunday,1/15/2023,19:00,2569
Sunday,1/15/2023,20:00,2231
Sunday,1/15/2023,21:00,1732
Sunday,1/15/2023,22:00,48
Sunday,1/15/2023,23:00,0
Monday,1/16/2023,0:00,0
Monday,1/16/2023,1:00,0
Monday,1/16/2023,2:00,0
Monday,1/16/2023,3:00,0
Monday,1/16/2023,4:00,0
Monday,1/16/2023,5:00,2752
Monday,1/16/2023,6:00,3513
Monday,1/16/2023,7:00,4967
Monday,1/16/2023,8:00,4341
Monday,1/16/2023,9:00,3566
Monday,1/16/2023,10:00,3054
Monday,1/16/2023,11:00,2828
Monday,1/16/2023,12:00,2767
Monday,1/16/2023,13:00,2528
Monday,1/16/2023,14:00,2571
Monday,1/16/2023,15:00,2857
Monday,1/16/2023,16:00,3240
Monday,1/16/2023,17:00,3715
Monday,1/16/2023,18:00,3273
Monday,1/16/2023,19:00,2755
Monday,1/16/2023,20:00,2493
Monday,1/16/2023,21:00,1631
Monday,1/16/2023,22:00,56
Monday,1/16/2023,23:00,0
Tuesday,1/17/2023,0:00,0
Tuesday,1/17/2023,1:00,0
Tuesday,1/17/2023,2:00,0
Tuesday,1/17/2023,3:00,0
Tuesday,1/17/2023,4:00,0
Tuesday,1/17/2023,5:00,2667
Tuesday,1/17/2023,6:00,3895
Tuesday,1/17/2023,7:00,5150
Tuesday,1/17/2023,8:00,3973
Tuesday,1/17/2023,9:00,3455
Tuesday,1/17/2023,10:00,2670
Tuesday,1/17/2023,11:00,2748
Tuesday,1/17/2023,12:00,2495
Tuesday,1/17/2023,13:00,2521
Tuesday,1/17/2023,14:00,2558
Tuesday,1/17/2023,15:00,2650
Tuesday,1/17/2023,16:00,3259
Tuesday,1/17/2023,17:00,3519
Tuesday,1/17/2023,18:00,3423
Tuesday,1/17/2023,19:00,2767
Tuesday,1/17/2023,20:00,2559
Tuesday,1/17/2023,21:00,1790
Tuesday,1/17/2023,22:00,68
Tuesday,1/17/2023,23:00,0
Wednesday,1/18/2023,0:00,0
Wednesday,1/18/2023,1:00,0
Wednesday,1/18/2023,2:00,0
Wednesday,1/18/2023,3:00,0
Wednesday,1/18/2023,4:00,0
Wednesday,1/18/2023,5:00,2508
Wednesday,1/18/2023,6:00,3894
Wednesday,1/18/2023,7:00,4756
Wednesday,1/18/2023,8:00,4135
Wednesday,1/18/2023,9:00,3426
Wednesday,1/18/2023,10:00,2796
Wednesday,1/18/2023,11:00,2814
Wednesday,1/18/2023,12:00,2652
Wednesday,1/18/2023,13:00,2522
Wednesday,1/18/2023,14:00,2458
Wednesday,1/18/2023,15:00,2838
Wednesday,1/18/2023,16:00,3223
Wednesday,1/18/2023,17:00,3534
Wednesday,1/18/2023,18:00,3409
Wednesday,1/18/2023,19:00,3029
Wednesday,1/18/2023,20:00,2646
Wednesday,1/18/2023,21:00,1889
Wednesday,1/18/2023,22:00,78
Wednesday,1/18/2023,23:00,0
Thursday,1/19/2023,0:00,0
Thursday,1/19/2023,1:00,0
Thursday,1/19/2023,2:00,0
Thursday,1/19/2023,3:00,0
Thursday,1/19/2023,4:00,0
Thursday,1/19/2023,5:00,2429
Thursday,1/19/2023,6:00,3862
Thursday,1/19/2023,7:00,4953
Thursday,1/19/2023,8:00,4044
Thursday,1/19/2023,9:00,3363
Thursday,1/19/2023,10:00,2649
Thursday,1/19/2023,11:00,2429
Thursday,1/19/2023,12:00,2420
Thursday,1/19/2023,13:00,2416
Thursday,1/19/2023,14:00,2415
Thursday,1/19/2023,15:00,2544
Thursday,1/19/2023,16:00,3148
Thursday,1/19/2023,17:00,3344
Thursday,1/19/2023,18:00,3281
Thursday,1/19/2023,19:00,2877
Thursday,1/19/2023,20:00,2521
Thursday,1/19/2023,21:00,1736
