Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Sunday,1/1/2023,4:00,01.01.2023 04.00.00,0,1,2,1.5,Light Rain
Sunday,1/1/2023,5:00,01.01.2023 05.00.00,0,1,2,1.5,Light Rain
Sunday,1/1/2023,6:00,01.01.2023 06.00.00,956,1,2,1.5,Light Rain
Sunday,1/1/2023,7:00,01.01.2023 07.00.00,1076,1,2,1.5,Light Rain
Sunday,1/1/2023,8:00,01.01.2023 08.00.00,1081,1,2,1.5,Light Rain
Sunday,1/1/2023,9:00,01.01.2023 09.00.00,1276,1,2,1.5,Light Rain
Sunday,1/1/2023,10:00,01.01.2023 10.00.00,1709,1,2,1.5,Light Rain
Sunday,1/1/2023,11:00,01.01.2023 11.00.00,1998,1,2,1.5,Light Rain
Sunday,1/1/2023,12:00,01.01.2023 12.00.00,1917,1,2,1.5,Light Rain
Sunday,1/1/2023,13:00,01.01.2023 13.00.00,1980,1,2,1.5,Light Rain
Sunday,1/1/2023,14:00,01.01.2023 14.00.00,2087,1,2,1.5,Light Rain
Sunday,1/1/2023,15:00,01.01.2023 15.00.00,2196,1,2,1.5,Light Rain
Sunday,1/1/2023,16:00,01.01.2023 16.00.00,2305,1,2,1.5,Light Rain
Sunday,1/1/2023,17:00,01.01.2023 17.00.00,2712,1,2,1.5,Light Rain
Sunday,1/1/2023,18:00,01.01.2023 18.00.00,2367,1,2,1.5,Light Rain
Sunday,1/1/2023,19:00,01.01.2023 19.00.00,2476,1,2,1.5,Light Rain
Sunday,1/1/2023,20:00,01.01.2023 20.00.00,2240,1,2,1.5,Light Rain
Sunday,1/1/2023,21:00,01.01.2023 21.00.00,1752,1,2,1.5,Light Rain
Sunday,1/1/2023,22:00,01.01.2023 22.00.00,136,1,2,1.5,Light Rain
Sunday,1/1/2023,23:00,01.01.2023 23.00.00,0,1,2,1.5,Light Rain
Monday,1/2/2023,4:00,02.01.2023 04.00.00,0,0,3,13,Moderate Rain
Monday,1/2/2023,5:00,02.01.2023 05.00.00,1182,0,3,13,Moderate Rain
Monday,1/2/2023,6:00,02.01.2023 06.00.00,1367,0,3,13,Moderate Rain
Monday,1/2/2023,7:00,02.01.2023 07.00.00,1591,0,3,13,Moderate Rain
Monday,1/2/2023,8:00,02.01.2023 08.00.00,1617,0,3,13,Moderate Rain
Monday,1/2/2023,9:00,02.01.2023 09.00.00,2053,0,3,13,Moderate Rain
Monday,1/2/2023,10:00,02.01.2023 10.00.00,2148,0,3,13,Moderate Rain
Monday,1/2/2023,11:00,02.01.2023 11.00.00,2188,0,3,13,Moderate Rain
Monday,1/2/2023,12:00,02.01.2023 12.00.00,2481,0,3,13,Moderate Rain
Monday,1/2/2023,13:00,02.01.2023 13.00.00,2450,0,3,13,Moderate Rain
Monday,1/2/2023,14:00,02.01.2023 14.00.00,2495,0,3,13,Moderate Rain
Monday,1/2/2023,15:00,02.01.2023 15.00.00,2385,0,3,13,Moderate Rain
Monday,1/2/2023,16:00,02.01.2023 16.00.00,2935,0,3,13,Moderate Rain
Monday,1/2/2023,17:00,02.01.2023 17.00.00,2822,0,3,13,Moderate Rain
Monday,1/2/2023,18:00,02.01.2023 18.00.00,2925,0,3,13,Moderate Rain
Monday,1/2/2023,19:00,02.01.2023 19.00.00,2709,0,3,13,Moderate Rain
Monday,1/2/2023,20:00,02.01.2023 20.00.00,2699,0,3,13,Moderate Rain
Monday,1/2/2023,21:00,02.01.2023 21.00.00,1847,0,3,13,Moderate Rain
Monday,1/2/2023,22:00,02.01.2023 22.00.00,58,0,3,13,Moderate Rain
Monday,1/2/2023,23:00,02.01.2023 23.00.00,0,0,3,13,Moderate Rain
Tuesday,1/3/2023,4:00,03.01.2023 04.00.00,0,0,2,5.5,Light Rain
Tuesday,1/3/2023,5:00,03.01.2023 05.00.00,2555,0,2,5.5,Light Rain
Tuesday,1/3/2023,6:00,03.01.2023 06.00.00,3579,0,2,5.5,Light Rain
Tuesday,1/3/2023,7:00,03.01.2023 07.00.00,4493,0,2,5.5,Light Rain
Tuesday,1/3/2023,8:00,03.01.2023 08.00.00,3709,0,2,5.5,Light Rain
Tuesday,1/3/2023,9:00,03.01.2023 09.00.00,2914,0,2,5.5,Light Rain
Tuesday,1/3/2023,10:00,03.01.2023 10.00.00,2462,0,2,5.5,Light Rain
Tuesday,1/3/2023,11:00,03.01.2023 11.00.00,2630,0,2,5.5,Light Rain
Tuesday,1/3/2023,12:00,03.01.2023 12.00.00,2498,0,2,5.5,Light Rain
Tuesday,1/3/2023,13:00,03.01.2023 13.00.00,2423,0,2,5.5,Light Rain
Tuesday,1/3/2023,14:00,03.01.2023 14.00.00,2508,0,2,5.5,Light Rain
Tuesday,1/3/2023,15:00,03.01.2023 15.00.00,2185,0,2,5.5,Light Rain
Tuesday,1/3/2023,16:00,03.01.2023 16.00.00,1317,0,2,5.5,Light Rain
