Day,Date,Time,DateAndTime,Entry,is_weekend,rain_class,rain_amount,rain_desc
Saturday,1/1/2022,4:00,01.01.2022 04.00.00,0,1,0,0,No Rain
Saturday,1/1/2022,5:00,01.01.2022 05.00.00,0,1,0,0,No Rain
Saturday,1/1/2022,6:00,01.01.2022 06.00.00,525,1,0,0,No Rain
Saturday,1/1/2022,7:00,01.01.2022 07.00.00,610,1,0,0,No Rain
Saturday,1/1/2022,8:00,01.01.2022 08.00.00,684,1,0,0,No Rain
Saturday,1/1/2022,9:00,01.01.2022 09.00.00,770,1,0,0,No Rain
Saturday,1/1/2022,10:00,01.01.2022 10.00.00,1022,1,0,0,No Rain
Saturday,1/1/2022,11:00,01.01.2022 11.00.00,1248,1,0,0,No Rain
Saturday,1/1/2022,12:00,01.01.2022 12.00.00,1048,1,0,0,No Rain
Saturday,1/1/2022,13:00,01.01.2022 13.00.00,1199,1,0,0,No Rain
Saturday,1/1/2022,14:00,01.01.2022 14.00.00,1174,1,0,0,No Rain
Saturday,1/1/2022,15:00,01.01.2022 15.00.00,1249,1,0,0,No Rain
Saturday,1/1/2022,16:00,01.01.2022 16.00.00,1385,1,0,0,No Rain
Saturday,1/1/2022,17:00,01.01.2022 17.00.00,1332,1,0,0,No Rain
Saturday,1/1/2022,18:00,01.01.2022 18.00.00,1401,1,0,0,No Rain
Saturday,1/1/2022,19:00,01.01.2022 19.00.00,1322,1,0,0,No Rain
Saturday,1/1/2022,20:00,01.01.2022 20.00.00,1033,1,0,0,No Rain
Saturday,1/1/2022,21:00,01.01.2022 21.00.00,790,1,0,0,No Rain
Saturday,1/1/2022,22:00,01.01.2022 22.00.00,71,1,0,0,No Rain
Saturday,1/1/2022,23:00,01.01.2022 23.00.00,0,1,0,0,No Rain
Sunday,1/2/2022,4:00,01.02.2022 04.00.00,0,1,0,0,No Rain
Sunday,1/2/2022,5:00,01.02.2022 05.00.00,602,1,0,0,No Rain
Sunday,1/2/2022,6:00,01.02.2022 06.00.00,676,1,0,0,No Rain
Sunday,1/2/2022,7:00,01.02.2022 07.00.00,853,1,0,0,No Rain
Sunday,1/2/2022,8:00,01.02.2022 08.00.00,972,1,0,0,No Rain
Sunday,1/2/2022,9:00,01.02.2022 09.00.00,1232,1,0,0,No Rain
Sunday,1/2/2022,10:00,01.02.2022 10.00.00,1236,1,0,0,No Rain
Sunday,1/2/2022,11:00,01.02.2022 11.00.00,1391,1,0,0,No Rain
Sunday,1/2/2022,12:00,01.02.2022 12.00.00,1452,1,0,0,No Rain
Sunday,1/2/2022,13:00,01.02.2022 13.00.00,1606,1,0,0,No Rain
Sunday,1/2/2022,14:00,01.02.2022 14.00.00,1632,1,0,0,No Rain
Sunday,1/2/2022,15:00,01.02.2022 15.00.00,1758,1,0,0,No Rain
Sunday,1/2/2022,16:00,01.02.2022 16.00.00,1803,1,0,0,No Rain
Sunday,1/2/2022,17:00,01.02.2022 17.00.00,1835,1,0,0,No Rain
Sunday,1/2/2022,18:00,01.02.2022 18.00.00,1761,1,0,0,No Rain
Sunday,1/2/2022,19:00,01.02.2022 19.00.00,1790,1,0,0,No Rain
Sunday,1/2/2022,20:00,01.02.2022 20.00.00,1477,1,0,0,No Rain
Sunday,1/2/2022,21:00,01.02.2022 21.00.00,987,1,0,0,No Rain
Sunday,1/2/2022,22:00,01.02.2022 22.00.00,92,1,0,0,No Rain
Sunday,1/2/2022,23:00,01.02.2022 23.00.00,0,1,0,0,No Rain
Monday,1/3/2022,4:00,01.03.2022 04.00.00,0,0,0,0,No Rain
Monday,1/3/2022,5:00,01.03.2022 05.00.00,1317,0,0,0,No Rain
Monday,1/3/2022,6:00,01.03.2022 06.00.00,1684,0,0,0,No Rain
Monday,1/3/2022,7:00,01.03.2022 07.00.00,1684,0,0,0,No Rain
Monday,1/3/2022,8:00,01.03.2022 08.00.00,1727,0,0,0,No Rain
Monday,1/3/2022,9:00,01.03.2022 09.00.00,1601,0,0,0,No Rain
Monday,1/3/2022,10:00,01.03.2022 10.00.00,1460,0,0,0,No Rain
Monday,1/3/2022,11:00,01.03.2022 11.00.00,1362,0,0,0,No Rain
Monday,1/3/2022,12:00,01.03.2022 12.00.00,1310,0,0,0,No Rain
Monday,1/3/2022,13:00,01.03.2022 13.00.00,1361,0,0,0,No Rain
Monday,1/3/2022,14:00,01.03.2022 14.00.00,1295,0,0,0,No Rain
Monday,1/3/2022,15:00,01.03.2022 15.00.00,1372,0,0,0,No Rain
Monday,1/3/2022,16:00,01.03.2022 16.00.00,1593,0,0,0,No Rain
Monday,1/3/2022,17:00,01.03.2022 17.00.00,1591,0,0,0,No Rain
Monday,1/3/2022,18:00,01.03.2022 18.00.00,1275,0,0,0,No Rain
Monday,1/3/2022,19:00,01.03.2022 19.00.00,1173,0,0,0,No Rain
Monday,1/3/2022,20:00,01.03.2022 20.00.00,918,0,0,0,No Rain
Monday,1/3/2022,21:00,01.03.2022 21.00.00,600,0,0,0,No Rain
Monday,1/3/2022,22:00,01.03.2022 22.00.00,32,0,0,0,No Rain
Monday,1/3/2022,23:00,01.03.2022 23.00.00,0,0,0,0,No Rain
Tuesday,1/4/2022,4:00,01.04.2022 04.00.00,0,0,0,0,No Rain
Tuesday,1/4/2022,5:00,01.04.2022 05.00.00,1089,0,0,0,No Rain
Tuesday,1/4/2022,6:00,01.04.2022 06.00.00,1562,0,0,0,No Rain
Tuesday,1/4/2022,7:00,01.04.2022 07.00.00,1640,0,0,0,No Rain
Tuesday,1/4/2022,8:00,01.04.2022 08.00.00,1473,0,0,0,No Rain
Tuesday,1/4/2022,9:00,01.04.2022 09.00.00,1270,0,0,0,No Rain
Tuesday,1/4/2022,10:00,01.04.2022 10.00.00,1116,0,0,0,No Rain
Tuesday,1/4/2022,11:00,01.04.2022 11.00.00,1150,0,0,0,No Rain
Tuesday,1/4/2022,12:00,01.04.2022 12.00.00,1136,0,0,0,No Rain
Tuesday,1/4/2022,13:00,01.04.2022 13.00.00,989,0,0,0,No Rain
Tuesday,1/4/2022,14:00,01.04.2022 14.00.00,1000,0,0,0,No Rain
Tuesday,1/4/2022,15:00,01.04.2022 15.00.00,1131,0,0,0,No Rain
Tuesday,1/4/2022,16:00,01.04.2022 16.00.00,1340,0,0,0,No Rain
Tuesday,1/4/2022,17:00,01.04.2022 17.00.00,1410,0,0,0,No Rain
Tuesday,1/4/2022,18:00,01.04.2022 18.00.00,1165,0,0,0,No Rain
Tuesday,1/4/2022,19:00,01.04.2022 19.00.00,962,0,0,0,No Rain
Tuesday,1/4/2022,20:00,01.04.2022 20.00.00,803,0,0,0,No Rain
Tuesday,1/4/2022,21:00,01.04.2022 21.00.00,568,0,0,0,No Rain
Tuesday,1/4/2022,22:00,01.04.2022 22.00.00,40,0,0,0,No Rain
Tuesday,1/4/2022,23:00,01.04.2022 23.00.00,0,0,0,0,No Rain
Wednesday,1/5/2022,4:00,01.05.2022 04.00.00,0,0,0,0,No Rain
Wednesday,1/5/2022,5:00,01.05.2022 05.00.00,877,0,0,0,No Rain
Wednesday,1/5/2022,6:00,01.05.2022 06.00.00,1382,0,0,0,No Rain
Wednesday,1/5/2022,7:00,01.05.2022 07.00.00,1526,0,0,0,No Rain
Wednesday,1/5/2022,8:00,01.05.2022 08.00.00,1366,0,0,0,No Rain
Wednesday,1/5/2022,9:00,01.05.2022 09.00.00,1317,0,0,0,No Rain
Wednesday,1/5/2022,10:00,01.05.2022 10.00.00,1075,0,0,0,No Rain
Wednesday,1/5/2022,11:00,01.05.2022 11.00.00,1148,0,0,0,No Rain
Wednesday,1/5/2022,12:00,01.05.2022 12.00.00,1071,0,0,0,No Rain
Wednesday,1/5/2022,13:00,01.05.2022 13.00.00,987,0,0,0,No Rain
Wednesday,1/5/2022,14:00,01.05.2022 14.00.00,997,0,0,0,No Rain
Wednesday,1/5/2022,15:00,01.05.2022 15.00.00,1160,0,0,0,No Rain
Wednesday,1/5/2022,16:00,01.05.2022 16.00.00,1392,0,0,0,No Rain
Wednesday,1/5/2022,17:00,01.05.2022 17.00.00,1444,0,0,0,No Rain
Wednesday,1/5/2022,18:00,01.05.2022 18.00.00,1196,0,0,0,No Rain
Wednesday,1/5/2022,19:00,01.05.2022 19.00.00,905,0,0,0,No Rain
Wednesday,1/5/2022,20:00,01.05.2022 20.00.00,800,0,0,0,No Rain
Wednesday,1/5/2022,21:00,01.05.2022 21.00.00,555,0,0,0,No Rain
Wednesday,1/5/2022,22:00,01.05.2022 22.00.00,54,0,0,0,No Rain
Wednesday,1/5/2022,23:00,01.05.2022 23.00.00,0,0,0,0,No Rain
Thursday,1/6/2022,4:00,01.06.2022 04.00.00,0,0,0,0,No Rain
Thursday,1/6/2022,5:00,01.06.2022 05.00.00,843,0,0,0,No Rain
Thursday,1/6/2022,6:00,01.06.2022 06.00.00,1361,0,0,0,No Rain
Thursday,1/6/2022,7:00,01.06.2022 07.00.00,1459,0,0,0,No Rain
Thursday,1/6/2022,8:00,01.06.2022 08.00.00,1285,0,0,0,No Rain
