Day,Date,Time,Entry,is_weekend
Sunday,1/1/2023,4:00,0,1
Sunday,1/1/2023,5:00,0,1
Sunday,1/1/2023,6:00,956,1
Sunday,1/1/2023,7:00,1076,1
Sunday,1/1/2023,8:00,1081,1
Sunday,1/1/2023,9:00,1276,1
Sunday,1/1/2023,10:00,1709,1
Sunday,1/1/2023,11:00,1998,1
Sunday,1/1/2023,12:00,1917,1
Sunday,1/1/2023,13:00,1980,1
Sunday,1/1/2023,14:00,2087,1
Sunday,1/1/2023,15:00,2196,1
Sunday,1/1/2023,16:00,2305,1
Sunday,1/1/2023,17:00,2712,1
Sunday,1/1/2023,18:00,2367,1
Sunday,1/1/2023,19:00,2476,1
Sunday,1/1/2023,20:00,2240,1
Sunday,1/1/2023,21:00,1752,1
Sunday,1/1/2023,22:00,136,1
Sunday,1/1/2023,23:00,0,1
Monday,1/2/2023,4:00,0,0
Monday,1/2/2023,5:00,1182,0
Monday,1/2/2023,6:00,1367,0
Monday,1/2/2023,7:00,1591,0
Monday,1/2/2023,8:00,1617,0
Monday,1/2/2023,9:00,2053,0
Monday,1/2/2023,10:00,2148,0
Monday,1/2/2023,11:00,2188,0
Monday,1/2/2023,12:00,2481,0
Monday,1/2/2023,13:00,2450,0
Monday,1/2/2023,14:00,2495,0
Monday,1/2/2023,15:00,2385,0
Monday,1/2/2023,16:00,2935,0
Monday,1/2/2023,17:00,2822,0
Monday,1/2/2023,18:00,2925,0
Monday,1/2/2023,19:00,2709,0
Monday,1/2/2023,20:00,2699,0
Monday,1/2/2023,21:00,1847,0
Monday,1/2/2023,22:00,58,0
Monday,1/2/2023,23:00,0,0
Tuesday,1/3/2023,4:00,0,0
Tuesday,1/3/2023,5:00,2555,0
Tuesday,1/3/2023,6:00,3579,0
Tuesday,1/3/2023,7:00,4493,0
Tuesday,1/3/2023,8:00,3709,0
Tuesday,1/3/2023,9:00,2914,0
Tuesday,1/3/2023,10:00,2462,0
Tuesday,1/3/2023,11:00,2630,0
Tuesday,1/3/2023,12:00,2498,0
Tuesday,1/3/2023,13:00,2423,0
Tuesday,1/3/2023,14:00,2508,0
Tuesday,1/3/2023,15:00,2185,0
Tuesday,1/3/2023,16:00,1317,0
Tuesday,1/3/2023,17:00,3268,0
