Datetime,Entry,Exit
1/1/23 3:00,0,0
1/1/23 4:00,0,0
1/1/23 5:00,0,0
1/1/23 6:00,956,399
1/1/23 7:00,1076,1327
1/1/23 8:00,1081,1001
1/1/23 9:00,1276,1291
1/1/23 10:00,1709,1591
1/1/23 11:00,1998,2043
1/1/23 12:00,1917,2519
1/1/23 13:00,1980,2302
1/1/23 14:00,2087,3234
1/1/23 15:00,2196,2691
1/1/23 16:00,2305,2987
1/1/23 17:00,2712,2974
1/1/23 18:00,2367,2420
1/1/23 19:00,2476,1982
1/1/23 20:00,2240,1898
1/1/23 21:00,1752,1375
1/1/23 22:00,136,47
1/1/23 23:00,0,0
1/2/23 0:00,0,0
1/2/23 1:00,0,0
1/2/23 2:00,0,0
1/2/23 3:00,0,0
1/2/23 4:00,0,0
1/2/23 5:00,1182,985
1/2/23 6:00,1367,1277
1/2/23 7:00,1591,1621
1/2/23 8:00,1617,1620
1/2/23 9:00,2053,1806
1/2/23 10:00,2148,2192
1/2/23 11:00,2188,2396
1/2/23 12:00,2481,2728
1/2/23 13:00,2450,2757
1/2/23 14:00,2495,3132
1/2/23 15:00,2385,3309
1/2/23 16:00,2935,2998
1/2/23 17:00,2822,3018
1/2/23 18:00,2925,2791
1/2/23 19:00,2709,2513
1/2/23 20:00,2699,2000
1/2/23 21:00,1847,1866
1/2/23 22:00,58,55
1/2/23 23:00,0,0
1/3/23 0:00,0,0
1/3/23 1:00,0,0
1/3/23 2:00,0,0
1/3/23 3:00,0,0
1/3/23 4:00,0,0
1/3/23 5:00,2555,1517
1/3/23 6:00,3579,2344
1/3/23 7:00,4493,2646
1/3/23 8:00,3709,2768
1/3/23 9:00,2914,2625
1/3/23 10:00,2462,2452
1/3/23 11:00,2630,2254
1/3/23 12:00,2498,2574
1/3/23 13:00,2423,2719
1/3/23 14:00,2508,2757
1/3/23 15:00,2185,1941
1/3/23 16:00,1317,982
1/3/23 17:00,3268,5320
1/3/23 18:00,2904,5284
1/3/23 19:00,2739,3760
1/3/23 20:00,2235,3321
1/3/23 21:00,1630,2074
1/3/23 22:00,85,50
1/3/23 23:00,0,0
1/4/23 0:00,0,0
1/4/23 1:00,0,0
1/4/23 2:00,0,0
1/4/23 3:00,0,0
1/4/23 4:00,0,0
1/4/23 5:00,2510,1694
1/4/23 6:00,3395,2237
1/4/23 7:00,4712,3511
1/4/23 8:00,3612,2877
1/4/23 9:00,3050,2811
1/4/23 10:00,2534,2626
1/4/23 11:00,2512,2362
1/4/23 12:00,2627,2771
1/4/23 13:00,2323,2403
1/4/23 14:00,2406,2682
1/4/23 15:00,2544,3162
1/4/23 16:00,2946,3948
1/4/23 17:00,3641,4807
1/4/23 18:00,3124,5721
1/4/23 19:00,2744,4070
1/4/23 20:00,2358,2716
1/4/23 21:00,1701,2033
1/4/23 22:00,52,94
1/4/23 23:00,0,0
1/5/23 0:00,0,0
1/5/23 1:00,0,0
1/5/23 2:00,0,0
1/5/23 3:00,0,0
1/5/23 4:00,0,0
1/5/23 5:00,2207,1154
1/5/23 6:00,3212,2194
1/5/23 7:00,4269,2548
1/5/23 8:00,3814,2791
1/5/23 9:00,2776,2345
1/5/23 10:00,2303,1958
1/5/23 11:00,2156,2080
1/5/23 12:00,2133,2020
1/5/23 13:00,1880,1855
1/5/23 14:00,1987,2200
1/5/23 15:00,2042,2442
1/5/23 16:00,2519,3516
1/5/23 17:00,2820,4692
1/5/23 18:00,2766,4939
1/5/23 19:00,2462,3926
1/5/23 20:00,1982,2619
1/5/23 21:00,1522,2071
1/5/23 22:00,65,33
1/5/23 23:00,0,0
1/6/23 0:00,0,0
1/6/23 1:00,0,0
1/6/23 2:00,0,0
1/6/23 3:00,0,0
1/6/23 4:00,0,0
1/6/23 5:00,2323,1261
1/6/23 6:00,3330,2165
1/6/23 7:00,4433,3104
1/6/23 8:00,3533,2814
1/6/23 9:00,2928,2633
1/6/23 10:00,2508,2541
1/6/23 11:00,2708,2459
1/6/23 12:00,2504,2670
1/6/23 13:00,2361,2671
1/6/23 14:00,2432,2405
1/6/23 15:00,2578,3127
1/6/23 16:00,3102,4263
1/6/23 17:00,3412,5278
1/6/23 18:00,3322,5514
1/6/23 19:00,2784,4428
1/6/23 20:00,2496,2997
1/6/23 21:00,1703,2254
1/6/23 22:00,80,112
1/6/23 23:00,0,0
1/7/23 0:00,0,0
1/7/23 1:00,0,0
1/7/23 2:00,0,0
1/7/23 3:00,0,0
1/7/23 4:00,0,0
1/7/23 5:00,1582,1186
1/7/23 6:00,2155,1729
1/7/23 7:00,2268,2468
1/7/23 8:00,2320,2374
1/7/23 9:00,2390,2051
1/7/23 10:00,2295,2221
1/7/23 11:00,2297,2166
1/7/23 12:00,2411,2634
1/7/23 13:00,2508,2749
1/7/23 14:00,2377,2810
1/7/23 15:00,2682,2999
1/7/23 16:00,2961,3680
1/7/23 17:00,3100,4235
1/7/23 18:00,2868,3448
1/7/23 19:00,2438,3276
1/7/23 20:00,2143,2136
1/7/23 21:00,1505,1891
1/7/23 22:00,34,97
1/7/23 23:00,0,0
1/8/23 0:00,0,0
1/8/23 1:00,0,0
1/8/23 2:00,0,0
1/8/23 3:00,0,0
1/8/23 4:00,0,0
1/8/23 5:00,1036,917
1/8/23 6:00,1333,1354
1/8/23 7:00,1614,1719
1/8/23 8:00,1889,1676
1/8/23 9:00,2179,2020
1/8/23 10:00,2096,2146
1/8/23 11:00,2370,2196
1/8/23 12:00,2390,2473
1/8/23 13:00,2358,2317
1/8/23 14:00,2532,2689
1/8/23 15:00,2449,2948
1/8/23 16:00,2737,2968
1/8/23 17:00,2964,2690
1/8/23 18:00,2523,2542
1/8/23 19:00,2410,2605
1/8/23 20:00,2080,2138
1/8/23 21:00,1583,2068
1/8/23 22:00,76,66
1/8/23 23:00,0,0
1/9/23 0:00,0,0
1/9/23 1:00,0,0
1/9/23 2:00,0,0
1/9/23 3:00,0,0
1/9/23 4:00,0,0
1/9/23 5:00,2817,1787
1/9/23 6:00,4237,2187
1/9/23 7:00,4830,2720
1/9/23 8:00,4098,2330
1/9/23 9:00,3383,2285
1/9/23 10:00,2754,2106
1/9/23 11:00,2687,2855
1/9/23 12:00,2488,2666
1/9/23 13:00,2502,2561
1/9/23 14:00,2535,2934
1/9/23 15:00,2560,3141
1/9/23 16:00,2785,4199
1/9/23 17:00,3118,5202
1/9/23 18:00,2997,5651
1/9/23 19:00,2578,4129
1/9/23 20:00,2334,2734
1/9/23 21:00,1506,1994
1/9/23 22:00,28,73
1/9/23 23:00,0,0
1/10/23 0:00,0,0
1/10/23 1:00,0,0
1/10/23 2:00,0,0
1/10/23 3:00,0,0
1/10/23 4:00,0,0
1/10/23 5:00,2474,1570
1/10/23 6:00,3754,2558
1/10/23 7:00,4873,3426
1/10/23 8:00,4196,2934
1/10/23 9:00,3241,2967
1/10/23 10:00,2717,2662
1/10/23 11:00,2609,2529
1/10/23 12:00,2514,2689
1/10/23 13:00,2472,2728
1/10/23 14:00,2562,2564
1/10/23 15:00,2599,3153
1/10/23 16:00,3144,3959
1/10/23 17:00,3529,5361
1/10/23 18:00,3278,5842
1/10/23 19:00,2941,4618
1/10/23 20:00,2401,2776
1/10/23 21:00,1740,2372
1/10/23 22:00,39,87
1/10/23 23:00,0,0
1/11/23 0:00,0,0
1/11/23 1:00,0,0
1/11/23 2:00,0,0
1/11/23 3:00,0,0
1/11/23 4:00,0,0
1/11/23 5:00,2416,1638
1/11/23 6:00,3891,2794
1/11/23 7:00,5030,3072
1/11/23 8:00,4128,3353
1/11/23 9:00,3207,2716
1/11/23 10:00,2698,2941
1/11/23 11:00,2779,2596
1/11/23 12:00,2628,2677
1/11/23 13:00,2464,2743
1/11/23 14:00,2566,2550
1/11/23 15:00,2934,3171
1/11/23 16:00,3306,4167
1/11/23 17:00,3629,5378
1/11/23 18:00,3320,6055
1/11/23 19:00,2973,4289
1/11/23 20:00,2561,3281
1/11/23 21:00,1782,2790
1/11/23 22:00,74,121
1/11/23 23:00,0,0
1/12/23 0:00,0,0
1/12/23 1:00,0,0
1/12/23 2:00,0,0
1/12/23 3:00,0,0
1/12/23 4:00,0,0
1/12/23 5:00,2460,1559
1/12/23 6:00,3743,2626
1/12/23 7:00,4985,3222
1/12/23 8:00,4008,3077
1/12/23 9:00,3121,2585
1/12/23 10:00,2538,2440
1/12/23 11:00,2552,2481
1/12/23 12:00,2466,2341
1/12/23 13:00,2234,2443
1/12/23 14:00,2230,2521
1/12/23 15:00,2593,2984
1/12/23 16:00,2845,3975
1/12/23 17:00,3333,5189
1/12/23 18:00,3133,5716
1/12/23 19:00,2925,4253
1/12/23 20:00,2381,3197
1/12/23 21:00,1665,2386
1/12/23 22:00,60,55
1/12/23 23:00,0,0
1/13/23 0:00,0,0
1/13/23 1:00,0,0
1/13/23 2:00,0,0
1/13/23 3:00,0,0
1/13/23 4:00,0,0
1/13/23 5:00,2366,1483
1/13/23 6:00,3661,2375
1/13/23 7:00,4621,3251
1/13/23 8:00,3789,2917
1/13/23 9:00,3124,2526
1/13/23 10:00,2854,2634
1/13/23 11:00,2729,2416
1/13/23 12:00,2905,2697
1/13/23 13:00,2744,2577
1/13/23 14:00,2698,2586
1/13/23 15:00,2919,3338
1/13/23 16:00,3275,4153
1/13/23 17:00,3517,6088
1/13/23 18:00,3336,5608
1/13/23 19:00,3074,4790
1/13/23 20:00,2533,3399
1/13/23 21:00,2054,2607
1/13/23 22:00,84,86
1/13/23 23:00,0,0
1/14/23 0:00,0,0
1/14/23 1:00,0,0
1/14/23 2:00,0,0
1/14/23 3:00,0,0
1/14/23 4:00,0,0
1/14/23 5:00,1646,1279
1/14/23 6:00,2237,2158
1/14/23 7:00,2463,2608
1/14/23 8:00,2391,2522
1/14/23 9:00,2368,2476
1/14/23 10:00,2280,2285
1/14/23 11:00,2449,2598
1/14/23 12:00,2549,2845
1/14/23 13:00,2563,3038
1/14/23 14:00,2531,2756
1/14/23 15:00,2827,3456
1/14/23 16:00,3364,3930
1/14/23 17:00,3524,4356
1/14/23 18:00,3051,3991
1/14/23 19:00,2660,3454
1/14/23 20:00,2506,2598
1/14/23 21:00,1625,2113
1/14/23 22:00,76,130
1/14/23 23:00,0,0
1/15/23 0:00,0,0
1/15/23 1:00,0,0
1/15/23 2:00,0,0
1/15/23 3:00,0,0
1/15/23 4:00,0,0
1/15/23 5:00,1022,894
1/15/23 6:00,1385,1319
1/15/23 7:00,1595,1633
1/15/23 8:00,2006,1667
1/15/23 9:00,2185,2086
1/15/23 10:00,2004,2256
1/15/23 11:00,2386,2497
1/15/23 12:00,2350,2386
1/15/23 13:00,2487,2997
1/15/23 14:00,2554,2556
1/15/23 15:00,2665,3079
1/15/23 16:00,3016,3017
1/15/23 17:00,2854,2629
1/15/23 18:00,2629,2514
1/15/23 19:00,2569,2600
1/15/23 20:00,2231,2279
